FID,SHAPE,NAME,BEZIRK,ADRESSE,WEITERE_INF,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSEUMOGD.71832,POINT (16.349930219409902 48.19683907744142),Condomi-Museum,6,"06., Esterhazygasse 26",https://www.liebens-wert.at/de/museum/kondommuseum/,71832,
MUSEUMOGD.71833,POINT (16.383598684266 48.18578572315722),Belvedere 21,3,"03., Arsenalstraße 1",http://belvedere21.at/,71833,
MUSEUMOGD.71834,POINT (16.30724031929512 48.24380467746054),Geymüllerschlössel,18,"18., Pötzleinsdorfer Straße 102",http://www.mak.at,71834,
MUSEUMOGD.71835,POINT (16.387951419200174 48.18507027721931),Heeresgeschichtliches Museum,3,"03., Arsenal, Objekt 1",http://www.hgm.at,71835,
MUSEUMOGD.71836,POINT (16.36837903869425 48.204590225971714),Albertina,1,"01., Albertinaplatz 1",http://www.albertina.at/,71836,
MUSEUMOGD.71837,POINT (16.38131591849001 48.20762337738679),MAK - Museum für angewandte Kunst,1,"01., Stubenring 5",http://www.mak.at/,71837,
MUSEUMOGD.71838,POINT (16.365840318585704 48.20043127724288),Secession,1,"01., Friedrichstraße 12",http://www.secession.at/,71838,
MUSEUMOGD.71839,POINT (16.369317418345307 48.20716447785546),Jüdisches Museum Wien,1,"01., Dorotheergasse 11",http://www.jmw.at,71839,
MUSEUMOGD.71840,POINT (16.354517819559028 48.21615577771078),Geldmuseum der Oesterreichischen Nationalbank,9,"09., Otto-Wagner-Platz 3",http://www.geldmuseum.at,71840,
MUSEUMOGD.71841,POINT (16.43085201951092 48.24370607790851),Österreichisches Gartenbaumuseum,22,"22., Siebeckstraße 14",http://www.wien.gv.at/umwelt/parks/gartenbaumuseum/index.html,71841,
MUSEUMOGD.71842,POINT (16.48296201890213 48.21779947725615),Museum Aspern Essling 1809,22,"22., Asperner Heldenplatz 9",http://www.aspern-essling-1809.eu,71842,
MUSEUMOGD.71843,POINT (16.30523811841474 48.18979877783595),Bezirksmuseum Penzing,14,"14., Penzinger Straße 59",http://www.bezirksmuseum.at,71843,
MUSEUMOGD.71844,POINT (16.371585019447103 48.20056937796055),Künstlerhaus,1,"01., Karlsplatz 5",http://www.k-haus.at/,71844,
MUSEUMOGD.71845,POINT (16.369178419312966 48.21193037749982),Museum Judenplatz,1,"01., Judenplatz 8",http://www.jmw.at,71845,
MUSEUMOGD.71846,POINT (16.367286218614826 48.21135857764391),Feuerwehrmuseum,1,"01., Am Hof 7",,71846,
MUSEUMOGD.71847,POINT (16.347063419246208 48.19870087778113),Möbelmuseum Wien,7,"07., Andreasgasse 7",http://www.moebelmuseumwien.at,71847,
MUSEUMOGD.71848,POINT (16.365716700433705 48.207720080868945),Kaiserappartements,1,"01., Hofburg",http://www.sisimuseum-hofburg.at,71848,
MUSEUMOGD.71849,POINT (16.374964419423662 48.20815117744778),Mozarthaus Vienna,1,"01., Domgasse 5",http://www.mozarthausvienna.at,71849,
MUSEUMOGD.71850,POINT (16.373893577112913 48.20884372248517),Dom Museum Wien,1,"01., Stephansplatz 6",http://www.dommuseum.at/,71850,
MUSEUMOGD.71851,POINT (16.350777818989382 48.21576227759067),Viktor Frankl Museum Wien,9,"09., Mariannengasse 1/15",http://www.franklzentrum.org,71851,
MUSEUMOGD.71852,POINT (16.332737519301833 48.15100127796334),SchokoMuseum,23,"23., Willendorfergasse 2-8",http://www.schokomuseum.at,71852,
MUSEUMOGD.71853,POINT (16.3734046186135 48.20747807720937),Schatzkammer des Deutschen Ordens,1,"01., Singerstraße 7/1",http://www.deutscher-orden.at,71853,
MUSEUMOGD.71854,POINT (16.367657419191985 48.2001858779253),Kunsthalle Wien Karlsplatz,4,"04., Karlsplatz/Treitlstraße 2",http://www.kunsthallewien.at/,71854,
MUSEUMOGD.71855,POINT (16.364951252874544 48.2519694547224),Das Rote Wien im Waschsalon Karl-Marx-Hof,19,"19., Waschsalon Nr. 2, Halteraugasse 7",http://dasrotewien-waschsalon.at,71855,
MUSEUMOGD.71856,POINT (16.362447618684183 48.196054477380066),Dritte Mann Museum,4,"04., Pressgasse 25",http://thirdman.museum,71856,
