FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.293144,POINT (16.303357973720114 48.13679492547068),23,Perfektastr.-Ed.Kittenbergerg.,Verkehrslichtsignalanlage,V23069-01,293144,
AKUSTISCHEAMPELOGD.293145,POINT (16.339414968855312 48.21034369019276),8,Lerchenf. Gürtel-Sanettyg.,Verkehrslichtsignalanlage,V08017-01,293145,
AKUSTISCHEAMPELOGD.293147,POINT (16.34404312538098 48.21061218216442),8,Josefstädter Str.-Albertg._Skodag.,Verkehrslichtsignalanlage,V08012-01,293147,
AKUSTISCHEAMPELOGD.293148,POINT (16.4463719995025 48.25365961510807),22,Wagramer Str.-Eipeldauer Str.,Verkehrslichtsignalanlage,V22024-01,293148,
AKUSTISCHEAMPELOGD.293149,POINT (16.448981221201592 48.257322151239634),22,Wagramer Str.-Rennbahnweg,Verkehrslichtsignalanlage,V22023-01,293149,
AKUSTISCHEAMPELOGD.293150,POINT (16.375298187763374 48.20020731318214),1,Lothringerstr.-Schwarzenbergpl._Rennw,Verkehrslichtsignalanlage,V01036-01,293150,
AKUSTISCHEAMPELOGD.293152,POINT (16.386489066534605 48.167692003575695),10,Laaer-Berg-Strasse-Absbergg.,Verkehrslichtsignalanlage,V10029-01,293152,
AKUSTISCHEAMPELOGD.293154,POINT (16.395798897454675 48.26020612664308),21,Prager Str.-Hermann-Bahr-Str.,Verkehrslichtsignalanlage,V21004-01,293154,
AKUSTISCHEAMPELOGD.293155,POINT (16.326554479145482 48.219374768918456),17,Hernalser Hptstr.-Rosensteing.,Verkehrslichtsignalanlage,V17011-01,293155,
AKUSTISCHEAMPELOGD.293156,POINT (16.371481043381948 48.20192514224392),1,Kärntner Ring-Akademiestr.,Verkehrslichtsignalanlage,V01038-01,293156,
AKUSTISCHEAMPELOGD.293157,POINT (16.382296098852237 48.152488762871805),10,Favoritenstr.-ON 243,geregelter Fußgängerübergang,V10088-01,293157,
AKUSTISCHEAMPELOGD.293161,POINT (16.387796303772003 48.21381396922102),2,Untere Donaustr.-Fruchtg.,geregelter Fußgängerübergang,V02067-01,293161,
AKUSTISCHEAMPELOGD.293162,POINT (16.415202781835497 48.18554342537982),3,Döblerhofstr.-Modecenterstr.,Verkehrslichtsignalanlage,V03076-01,293162,
AKUSTISCHEAMPELOGD.293163,POINT (16.36060679913313 48.24098993209129),19,Heiligenst. Str.-Rampeng.,Verkehrslichtsignalanlage,V19014-01,293163,
AKUSTISCHEAMPELOGD.293165,POINT (16.43376902646051 48.158894557131035),11,Simmeringer Hptstr.-1.Tor,geregelter Fußgängerübergang,V11023-01,293165,
AKUSTISCHEAMPELOGD.293167,POINT (16.285651021793207 48.169602768733604),13,Speisinger Strasse-ON 44,geregelter Fußgängerübergang,V13032-01,293167,
AKUSTISCHEAMPELOGD.293170,POINT (16.31142063828333 48.193279844615105),14,Linzer Str.-Reinlg.,Verkehrslichtsignalanlage,V14009-01,293170,
AKUSTISCHEAMPELOGD.293174,POINT (16.34514038137732 48.16991144823571),10,Wienerbergstr.-Köglerg.,Verkehrslichtsignalanlage,V12053-01,293174,
AKUSTISCHEAMPELOGD.293175,POINT (16.33996245335225 48.19591862557643),6,Mariahilfer Gürtel-Mariahilfer Str.,Verkehrslichtsignalanlage,V06035-01,293175,
AKUSTISCHEAMPELOGD.293176,POINT (16.30855631767407 48.15948698053645),12,Breitenfurter Str.-Kirchfeldg.,Verkehrslichtsignalanlage,V12052-01,293176,
AKUSTISCHEAMPELOGD.293177,POINT (16.454539505239868 48.265030426607765),21,Julius Ficker-Str.-Seyringer Str.,Verkehrslichtsignalanlage,V21079-01,293177,
AKUSTISCHEAMPELOGD.293178,POINT (16.354285240920557 48.22465049357374),9,Nußdorfer Str.-Alserbachstr.,Verkehrslichtsignalanlage,V09016-01,293178,
