FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,BETREIBER,SE_ANNO_CAD_DATA
AUFZUGOGD.1643,1643,POINT (16.376966284932205 48.21162672301884),SCHWEDENPLATZ,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) in das Zwischengeschoß (Übergang zur U4) und in das Aufnahmegebäude Ausgang Schwedenplatz,SP A01,,Wiener Linien,
AUFZUGOGD.1644,1644,POINT (16.377929347495307 48.211854645396414),SCHWEDENPLATZ,U1,Aufzug fährt vom Zwischengeschoß (Übergang zur U1) auf den U4-Mittelbahnsteig.,SP A02,,Wiener Linien,
AUFZUGOGD.1645,1645,POINT (16.377861925197045 48.211833096066314),SCHWEDENPLATZ,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichungen) in das Zwischengeschoß (Übergang zur U4),SP A03,,Wiener Linien,
AUFZUGOGD.1646,1646,POINT (16.37328120532799 48.18624549353953),SÜDTIROLER PLATZ - HAUPTBAHNHOF,U1,Aufzug fährt von der Zwischengeschoß (Passage) an die Oberfläche Aufgang Favoritenstraße.,SL A03,,Wiener Linien,
AUFZUGOGD.1647,1647,POINT (16.376135959186826 48.179316007565696),KEPLERPLATZ,U1,Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche.,KE A01,,Wiener Linien,
AUFZUGOGD.1648,1648,POINT (16.3929827673478 48.21873083131581),PRATERSTERN,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A03,,Wiener Linien,
AUFZUGOGD.1649,1649,POINT (16.39457275697892 48.21838961435852),PRATERSTERN,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Aufnahmegebäude Ausgang Venediger Au/Ausstellungsstraße,PR A06,,Wiener Linien,
AUFZUGOGD.1650,1650,POINT (16.39043221515999 48.21871873898181),PRATERSTERN,U1,Aufzug fährt von der Passage in das stadteinwärtige Aufnahmegebäude Praterstraße,PR A07,,Wiener Linien,
AUFZUGOGD.1651,1651,POINT (16.385499448705566 48.21527757117787),NESTROYPLATZ,U1,Aufzug fährt vom U1-Mittelbahnsteig an die Oberfläche Ausgang Praterstraße,NP A01,,Wiener Linien,
AUFZUGOGD.1652,1652,POINT (16.377650950524675 48.17558605191448),REUMANNPLATZ,U1,Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche Ausgang Favoritenstraße (Stadteinwärtige Seite),RP A01,,Wiener Linien,
AUFZUGOGD.1653,1653,POINT (16.36107904116248 48.20253556231729),MUSEUMSQUARTIER,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz) in das Zwischengeschoss und in das Aufnahmegebäude Ausgang Museumsquartier,BA A01,,Wiener Linien,
AUFZUGOGD.1654,1654,POINT (16.36134617380409 48.20289480150938),MUSEUMSQUARTIER,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße) in das Zwischengeschoss und in das Aufnahmegebäude Ausgang Museumsquartier,BA A02,,Wiener Linien,
AUFZUGOGD.1655,1655,POINT (16.355649167816292 48.21042212809935),RATHAUS,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße) in das Aufnahmegebäude Ausgang Friedrich-Schmidt-Platz,RH A02,,Wiener Linien,
AUFZUGOGD.1656,1656,POINT (16.355191523902995 48.21023422776665),RATHAUS,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz) in das Aufnahmegebäude Ausgang Josefstädter Straße,RH A01,,Wiener Linien,
AUFZUGOGD.1657,1657,POINT (16.36253810444757 48.21487651514337),SCHOTTENTOR UNIVERSITÄT,U2,Aufzug fährt vom U2-Mittelbahnsteig in die Passage,SO A01,,Wiener Linien,
AUFZUGOGD.1658,1658,POINT (16.43215512659471 48.20663223582698),DONAUMARINA,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Donaumarina auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DM A06,,Wiener Linien,
AUFZUGOGD.1659,1659,POINT (16.415631278536654 48.17456087946706),ENKPLATZ,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Simmeringer Hauptstraße.,EK A01,,Wiener Linien,
AUFZUGOGD.1660,1660,POINT (16.36938581904414 48.202111527038696),KARLSPLATZ,U1,Aufzug fährt vom U1 Bahnsteig in die Karlsplatzpassage.,KP A03,,Wiener Linien,
AUFZUGOGD.1661,1661,POINT (16.36871466687745 48.20114309614136),KARLSPLATZ,U2,Aufzug fährt vom Bahnsteig der Linie U3 Richtung Aspernstraße in das Zwischengeschoß und in die Passage.,KP A02,,Wiener Linien,
AUFZUGOGD.1662,1662,POINT (16.368636952067668 48.20101462824892),KARLSPLATZ,U2,Aufzug fährt von U2 Bahnsteig Endstation in das Zwischengeschoß und in die Passage,KP A06,,Wiener Linien,
AUFZUGOGD.1663,1663,POINT (16.370404442966077 48.19373820394858),TAUBSTUMMENGASSE,U1,Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche Favoritenstraße.,TA A01,,Wiener Linien,
AUFZUGOGD.1664,1664,POINT (16.431956061547407 48.20678119749625),DONAUMARINA,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Donaumarina auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DM A05,,Wiener Linien,
AUFZUGOGD.1634,1634,POINT (16.371855530346593 48.20830026066571),STEPHANSPLATZ,U1,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Stephansplatz,SZ A04,,Wiener Linien,
AUFZUGOGD.1665,1665,POINT (16.431070055017887 48.20607951681419),DONAUMARINA,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DM A04,,Wiener Linien,
AUFZUGOGD.1666,1666,POINT (16.430932653004326 48.20620843834832),DONAUMARINA,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DM A01,,Wiener Linien,
AUFZUGOGD.1667,1667,POINT (16.45774558492988 48.22090203828524),HARDEGGASSE,U2,Aufzug fährt vom Aufnahmgebäude Ausgang Hardeggasse auf den Mittelbahnsteig,AR A01,,Wiener Linien,
AUFZUGOGD.1668,1668,POINT (16.440749336646483 48.21205243138802),DONAUSTADTBRÜCKE,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Effenbergplatz auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DT A04,,Wiener Linien,
AUFZUGOGD.1669,1669,POINT (16.44055018778746 48.21215889424832),DONAUSTADTBRÜCKE,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Effenbergplatz auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DT A03,,Wiener Linien,
